experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp01_inference_angle,50,50,infer_50,0.9855769230769231,0.692947867475163
subexp01_inference_angle,50,50,infer_50,0.9951923076923077,0.6810391760219909
subexp01_inference_angle,50,60,infer_60,0.004807692307692308,0.9999999999999998
subexp01_inference_angle,50,60,infer_60,0.014423076923076924,0.9998968700078601
subexp01_inference_angle,50,60,infer_60,0.02403846153846154,0.9994795941273206
subexp01_inference_angle,50,60,infer_60,0.03365384615384615,0.9963847138375307
subexp01_inference_angle,50,60,infer_60,0.04326923076923077,0.9957789600676532
subexp01_inference_angle,50,60,infer_60,0.052884615384615384,0.9891258928405018
subexp01_inference_angle,50,60,infer_60,0.0625,0.9846677117840871
subexp01_inference_angle,50,60,infer_60,0.07211538461538461,0.9785742835881022
subexp01_inference_angle,50,60,infer_60,0.08173076923076923,0.9752292590055903
subexp01_inference_angle,50,60,infer_60,0.09134615384615384,0.970059903899737
subexp01_inference_angle,50,60,infer_60,0.10096153846153846,0.9715583725655058
subexp01_inference_angle,50,60,infer_60,0.11057692307692307,0.9626745405218708
subexp01_inference_angle,50,60,infer_60,0.1201923076923077,0.957425378484805
subexp01_inference_angle,50,60,infer_60,0.12980769230769232,0.9547772035744214
subexp01_inference_angle,50,60,infer_60,0.13942307692307693,0.9523816364086555
subexp01_inference_angle,50,60,infer_60,0.14903846153846154,0.9455696816945791
subexp01_inference_angle,50,60,infer_60,0.15865384615384615,0.9333116920386704
subexp01_inference_angle,50,60,infer_60,0.16826923076923078,0.9416834123399075
subexp01_inference_angle,50,60,infer_60,0.1778846153846154,0.9364829414608163
subexp01_inference_angle,50,60,infer_60,0.1875,0.938737279842469
subexp01_inference_angle,50,60,infer_60,0.1971153846153846,0.9408689337952758
subexp01_inference_angle,50,60,infer_60,0.20673076923076922,0.9370985175635876
subexp01_inference_angle,50,60,infer_60,0.21634615384615385,0.9419806174692622
subexp01_inference_angle,50,60,infer_60,0.22596153846153846,0.9338465315142079
subexp01_inference_angle,50,60,infer_60,0.23557692307692307,0.9325774917549634
subexp01_inference_angle,50,60,infer_60,0.24519230769230768,0.9375613542704376
subexp01_inference_angle,50,60,infer_60,0.2548076923076923,0.9325572886145875
subexp01_inference_angle,50,60,infer_60,0.2644230769230769,0.9373021315104502
subexp01_inference_angle,50,60,infer_60,0.27403846153846156,0.9315807607590919
subexp01_inference_angle,50,60,infer_60,0.28365384615384615,0.9349745165655061
subexp01_inference_angle,50,60,infer_60,0.2932692307692308,0.9219920562253486
subexp01_inference_angle,50,60,infer_60,0.30288461538461536,0.9326906283786723
subexp01_inference_angle,50,60,infer_60,0.3125,0.9231550994723621
subexp01_inference_angle,50,60,infer_60,0.32211538461538464,0.9217251453686431
subexp01_inference_angle,50,60,infer_60,0.3317307692307692,0.9281557235983676
subexp01_inference_angle,50,60,infer_60,0.34134615384615385,0.9189830315599083
subexp01_inference_angle,50,60,infer_60,0.35096153846153844,0.9320862337065828
subexp01_inference_angle,50,60,infer_60,0.3605769230769231,0.9382301107209507
subexp01_inference_angle,50,60,infer_60,0.3701923076923077,0.9277014843414483
subexp01_inference_angle,50,60,infer_60,0.3798076923076923,0.9350044338886316
subexp01_inference_angle,50,60,infer_60,0.3894230769230769,0.9374902276441895
subexp01_inference_angle,50,60,infer_60,0.39903846153846156,0.9287068872560376
subexp01_inference_angle,50,60,infer_60,0.40865384615384615,0.9207588615027256
subexp01_inference_angle,50,60,infer_60,0.4182692307692308,0.9193640503491655
subexp01_inference_angle,50,60,infer_60,0.42788461538461536,0.9148094602638462
subexp01_inference_angle,50,60,infer_60,0.4375,0.9100351274176383
subexp01_inference_angle,50,60,infer_60,0.44711538461538464,0.9234629926267304
subexp01_inference_angle,50,60,infer_60,0.4567307692307692,0.9244880147556612
subexp01_inference_angle,50,60,infer_60,0.46634615384615385,0.9167281397587892
subexp01_inference_angle,50,60,infer_60,0.47596153846153844,0.9262842262787719
subexp01_inference_angle,50,60,infer_60,0.4855769230769231,0.9245740770342026
subexp01_inference_angle,50,60,infer_60,0.4951923076923077,0.9118756829010366
subexp01_inference_angle,50,60,infer_60,0.5048076923076923,0.9051044614362621
subexp01_inference_angle,50,60,infer_60,0.5144230769230769,0.9021877502585962
subexp01_inference_angle,50,60,infer_60,0.5240384615384616,0.8852548535857391
subexp01_inference_angle,50,60,infer_60,0.5336538461538461,0.87009847404014
subexp01_inference_angle,50,60,infer_60,0.5432692307692307,0.8689311348419657
subexp01_inference_angle,50,60,infer_60,0.5528846153846154,0.8629858507102208
subexp01_inference_angle,50,60,infer_60,0.5625,0.8604888931497182
subexp01_inference_angle,50,60,infer_60,0.5721153846153846,0.8618088439458362
subexp01_inference_angle,50,60,infer_60,0.5817307692307693,0.8501885979208681
subexp01_inference_angle,50,60,infer_60,0.5913461538461539,0.8560212867171991
subexp01_inference_angle,50,60,infer_60,0.6009615384615384,0.8750010532076508
subexp01_inference_angle,50,60,infer_60,0.6105769230769231,0.8746818970578677
subexp01_inference_angle,50,60,infer_60,0.6201923076923077,0.8754889149124587
subexp01_inference_angle,50,60,infer_60,0.6298076923076923,0.8753281192297505
subexp01_inference_angle,50,60,infer_60,0.6394230769230769,0.862717805965951
subexp01_inference_angle,50,60,infer_60,0.6490384615384616,0.871572307733704
subexp01_inference_angle,50,60,infer_60,0.6586538461538461,0.8698641032046048
subexp01_inference_angle,50,60,infer_60,0.6682692307692307,0.8649224169476044
subexp01_inference_angle,50,60,infer_60,0.6778846153846154,0.8632576860250302
subexp01_inference_angle,50,60,infer_60,0.6875,0.8661770101632268
subexp01_inference_angle,50,60,infer_60,0.6971153846153846,0.8599751167383113
subexp01_inference_angle,50,60,infer_60,0.7067307692307693,0.8644184169561612
subexp01_inference_angle,50,60,infer_60,0.7163461538461539,0.8637913271419023
subexp01_inference_angle,50,60,infer_60,0.7259615384615384,0.8648168860358926
subexp01_inference_angle,50,60,infer_60,0.7355769230769231,0.85566059796845
subexp01_inference_angle,50,60,infer_60,0.7451923076923077,0.8708233646689568
subexp01_inference_angle,50,60,infer_60,0.7548076923076923,0.864899083983854
subexp01_inference_angle,50,60,infer_60,0.7644230769230769,0.867736089140514
subexp01_inference_angle,50,60,infer_60,0.7740384615384616,0.8573821134671707
subexp01_inference_angle,50,60,infer_60,0.7836538461538461,0.8535255465420292
subexp01_inference_angle,50,60,infer_60,0.7932692307692307,0.8421581894342056
subexp01_inference_angle,50,60,infer_60,0.8028846153846154,0.8484960445274335
